radio,mcc,mnc,Company,lac,cid,changeable_0,long,lat,range,sample,changeable_1,created,updated,avgsignal
LTE,405,857,Jio,54,2900241,0,71.807793,22.574648,1000,1,1,1506523482,1506523482,0
LTE,405,857,Jio,34,3106597,0,72.586105,23.026543,1000,1,1,1506500619,1506500619,0
LTE,405,857,Jio,12321,101244929,0,72.506516,23.018986,1000,1,1,1506521139,1506521139,0
LTE,405,857,Jio,36,52260,0,72.531277,23.074914,1000,2,1,1506483709,1506483963,0
LTE,405,857,Jio,97,107557,0,72.535454,23.078041,1000,1,1,1506497574,1506497574,0
LTE,405,857,Jio,36,1572645,0,72.505554,23.020519,1000,1,1,1506520475,1506520475,0
LTE,405,857,Jio,12321,101245185,0,72.530922,23.074579,1000,1,1,1506521008,1506521008,0
LTE,405,857,Jio,36,1790738,0,72.527313,23.076015,1000,1,1,1506519610,1506519610,0
LTE,405,857,Jio,45,330512,0,70.21048,23.180815,1000,1,1,1506536205,1506536205,0
LTE,405,857,Jio,45,1148708,0,70.347229,23.293322,1000,1,1,1506534609,1506534609,0
LTE,405,857,Jio,46,647953,0,70.145622,23.071602,1000,2,1,1506537115,1506537115,0
LTE,405,857,Jio,45,584209,0,70.187805,23.145124,1000,1,1,1506536431,1506536431,0
LTE,405,857,Jio,33,104740,0,72.50618,23.018959,1000,2,1,1506520580,1506520653,0
LTE,405,857,Jio,46,1088529,0,70.150848,23.101873,1000,1,1,1506536699,1506536699,0
LTE,405,857,Jio,45,1222162,0,70.253014,23.210155,1000,1,1,1506535797,1506535797,0
LTE,405,857,Jio,45,1089040,0,70.235535,23.197756,1000,1,1,1506536005,1506536005,0
LTE,405,857,Jio,21,961828,0,74.261398,22.846191,1000,1,1,1506264973,1506264973,0
LTE,405,857,Jio,92,533008,0,73.293747,23.458464,1000,2,1,1506519325,1506521317,0
LTE,405,857,Jio,58,968740,0,70.802147,22.284332,1000,1,1,1506608397,1506608397,0
LTE,405,857,Jio,47,1358116,0,69.663719,23.231451,1000,1,1,1506586980,1506586980,0
LTE,405,857,Jio,47,1358097,0,69.663182,23.23074,1000,3,1,1506586699,1506587666,0
LTE,405,857,Jio,16,2187538,0,73.231259,22.287716,1000,8,1,1506539759,1506620616,0
LTE,405,857,Jio,16,2187557,0,73.230832,22.287102,1000,5,1,1506568478,1506568478,0
LTE,405,857,Jio,16,2187570,0,73.231138,22.28732,1000,6,1,1506615551,1506615551,0
